Date,Community,State,Dead,Injured,Total,Description
"August 14, 2019",Philadelphia (7),Pennsylvania,0,6,6,Six Philadelphia Police officers were shot during an eight-hour standoff while attempting to serve a drug warrant.[182]
"August 13, 2019",Tacoma,Washington,2,3,5,Police responded to calls of shots fired and found a deceased male and three women wounded. One died at the hospital from their injuries.[183]
"August 13, 2019",Greenwood,Mississippi,0,4,4,Four people were wounded in a shooting.[184]
"August 12, 2019",Riverside,California,2[n 1],2,4,A police officer was killed and two were wounded after a suspect opened fire during a traffic stop. The suspect was killed by police.[185]
"August 12, 2019",Hickory,North Carolina,3[n 1],1,4,"A man shot and killed his estranged wife and a man, then wounded another man before committing suicide.[186]"
"August 11, 2019",Chicago (24),Illinois,0,6,6,Six people were injured when they were shot by a gunman in a car in Garfield Park.[187]
"August 10, 2019",San Francisco (2),California,0,4,4,Four people were injured in an overnight shooting in the parking lot of a McDonald's restaurant.[188]
"August 10, 2019",Richmond (1),Virginia,0,4,4,Four people were injured in a shooting.[189]
"August 9, 2019",Houston (6),Texas,0,4[n 2],4,Four men were injured during a shoot-out at a convenience store.[190]
"August 9, 2019",Chicago (23),Illinois,0,4,4,Four people were injured in a drive-by shooting in Marquette Park.[191]
"August 8, 2019",Irvington,New Jersey,1,3,4,A gunman wearing body armor killed another man and wounded three responding police officers before being arrested.[192]
"August 7, 2019",St. Louis (4),Missouri,2,2,4,Two people were killed and two were injured in a shooting that also involved a motor vehicle crash.[193]
"August 6, 2019",Stone Mountain,Georgia,4[n 1],0,4,"A man killed two women and a man, before killing himself in a triple murder–suicide.[194]"
"August 6, 2019",Detroit (1),Michigan,0,4,4,Four people were shot and injured after a dispute.[195]
"August 5, 2019",San Antonio (4),Texas,4[n 1],0,4,"A man killed his uncle, grandmother and mother before he set the house on fire and committed suicide in a triple murder–suicide.[196]"
"August 5, 2019",Suitland,Maryland,1,3,4,One person was killed and three were wounded after a large fight broke out following a funeral service.[197]
"August 5, 2019",New York City (4),New York,0,4,4,Four people were injured in a shooting during a candlelight vigil in Crown Heights.[198]
"August 4, 2019",Memphis (3),Tennessee,1,3,4,One man was killed and three others were injured in an early morning shooting.[199]
"August 4, 2019",Grenada,Mississippi,0,4,4,Four people were discovered wounded in an overnight shooting.[200]
"August 4, 2019",Chicago (22),Illinois,1,7,8,One person was killed and seven others were injured in a shooting in the Lawndale community.[201]
"August 4, 2019",Chicago (21),Illinois,0,7,7,Seven people were wounded in a drive-by shooting near Douglass Park.[202]
"August 4, 2019",Dayton,Ohio,10[n 1],27,37,"2019 Dayton shooting: A gunman killed nine people and injured 27 outside of a bar after he was denied entry, before being killed by police.[203]"
"August 3, 2019",El Paso (1),Texas,23,22,45,2019 El Paso shooting: 23 people were killed and 22 were injured at a Walmart near the Cielo Vista Mall in a Hispanophobic massacre.[204][205] The perpetrator was taken into custody.[206][207]
"August 2, 2019",Pomfret,Maryland,3[n 1],1,4,"A man shot and killed his in-laws, and wounded an 11-year-old boy sitting in a relative's car before committing suicide.[208]"
"August 2, 2019",Suffolk,Virginia,2,3,5,"Two men were killed, and two women and a two-year-old were wounded at multiple crime scenes.[209]"
"July 31, 2019",Elkhart,Indiana,3[n 1],1,4,"Police responding to shots fired at a senior living complex discovered a wounded woman, and two males and a woman deceased. It is believed one of the deceased males was the shooter.[210]"
"July 30, 2019",Southaven,Mississippi,2,2[n 1],4,"At a Walmart store, a man killed two people then wounded a police officer before being shot by police and arrested.[211]"
"July 30, 2019",Haskell,Oklahoma,0,4,4,"During an attempted home invasion, shots were fired and four people were wounded.[212]"
"July 30, 2019",Rosenberg,Texas,3[n 1],1,4,"A man shot and killed his ex-girlfriends parents, and wounded her, before committing suicide in a murder–suicide.[213]"
"July 30, 2019",Columbus (3),Ohio,0,5,5,Five people were shot at a party at a home rented through Airbnb.[214]
