Date,Community,Dead,Injured,Total,Description
"September 17, 2018","Silver Spring, Maryland",4[n 1],1,5,"A father shot and killed his wife and two children, and injured his adult stepdaughter, before he committed suicide.[97]"
"September 13, 2018","Bakersfield, California",6[n 1],0,6,"A gunman opened fire at three locations after following a witness to another store and then to a private home. He killed two women and three men before carjacking a woman and child, and committing suicide when police approached.[98]"
"September 6, 2018","Cincinnati, Ohio (2)",4[n 1],2,6,"Fifth Third Center Shooting: A gunman entered a loading dock at the Fifth Third Center skyscraper and opened fire before entering the lobby of a building. Four people, including the shooter, were killed and two were injured.[99]"
"September 9, 2018","Auburn, Alabama",1,4,5,A teen opened fire at a McDonald's and left 1 dead and 4 injured. [100]
"September 2, 2018","San Bernardino, California (2)",0,8,8,Eight people were wounded during a shooting at a dice game at an apartment complex.[101]
"September 1, 2018","Cleveland, Ohio (4)",1,7,8,Eight people were shot at a nightclub. Police arrived and found a woman with a gunshot wound to the head at the back of the bar. She later died at a hospital.[102]
"August 27, 2018","Pine Bluff, Arkansas (2)",1,3,4,"An unidentified individual fired from a vehicle on a group of people standing outside a home, killing one and injuring three.[103]"
"August 26, 2018","Jacksonville, Florida (3)",3[n 1],11[n 5],14,"Jacksonville Landing Shooting: A gunman killed two people and wounded eleven more at a Madden NFL 19 competition before killing himself. The shooter was identified as David Katz, an individual who had reportedly been eliminated from the competition before the shooting.[104][105][106]"
"August 26, 2018","Wichita Falls, Texas",1,3,4,"One person was killed and three others were wounded inside a residence. Authorities took a man into custody in connection with the shooting. According to reports, the deceased victim was shot in the chest.[107][108]"
"August 25, 2018","Nashville, Tennessee (3)",1,4,5,Two gunmen reportedly shot five people outside a residence. One victim was shot in the chest and later died at Vanderbilt University Medical Center.[109]
"August 25, 2018","Richmond, Virginia (2)",0,6[n 6],6,"Five people were shot and wounded during an armed robbery of Liquid Café. One other individual had an unspecified injury ""by other means"" than gunfire.[110][111]"
"August 23, 2018","Philadelphia, Pennsylvania (7)",0,4,4,Four people were injured during a shooting in the Oxford Circle neighborhood of Philadelphia.[112][113]
"August 22, 2018","St. Louis, Missouri (7)",0,4,4,"Rapper YK Osiris's tour van ""came under fire"" on I-64 after a concert at around 11:05 PM. Four people were injured. YK Osiris himself was not shot.[114][115][116]"
